,Rank,Name,Platform,Year,Genre,Publisher,Total_Sales,NA_Sales,Global_Sales
0,1,Wii Sports,Wii,2006.0,Sports,Nintendo,124.22999999999999,41.49,82.74
2,3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,51.67,15.85,35.82
